2016/6/10_11:44:0,
515,9.706427524213532E-125
516,1.9411394117132054E-124
517,3.867029415896686E-124
518,7.67428215548163E-124
519,1.517237107296544E-123
520,2.9884100898933936E-123
521,5.8642623609584004E-123
522,1.1465374474924658E-122
523,2.233467971901653E-122
524,4.3351348846647935E-122
525,8.384389811384145E-122
526,1.6158484516810274E-121
527,3.103160705150851E-121
528,5.938767814606E-121
529,1.1326367108904147E-120
530,2.1527852663029255E-120
531,4.077932001720629E-120
532,7.698775442619661E-120
533,1.4486343163769804E-119
534,2.7168408191500495E-119
535,5.078677312196417E-119
536,9.463037726091253E-119
537,1.7575852894563513E-118
538,3.2540208376740003E-118
539,6.005571915774885E-118
540,1.1049189391943387E-117
541,2.026563403416831E-117
542,3.705572232054293E-117
543,6.755027323854228E-117
544,1.2276850289468792E-116
545,2.2245694742829212E-116
546,4.0189735806105796E-116
547,7.239446372976916E-116
548,1.3002513463342844E-115
549,2.3285824208733873E-115
550,4.158232077489622E-115
551,7.404384694066783E-115
552,1.3147481572226414E-114
553,2.327981875920294E-114
554,4.110645315158863E-114
555,7.238417702605194E-114
556,1.2711307390564046E-113
557,2.2261752445250633E-113
558,3.8883066944458273E-113
559,6.773343315415492E-113
560,1.1767828790418805E-112
561,2.0391511819073239E-112
562,3.5242879857369604E-112
563,6.075348220146923E-112
564,1.044618280540466E-111
565,1.791593440672905E-111
566,3.0649637104412704E-111
567,5.2302659967576436E-111
568,8.903140372163106E-111
569,1.5117918916210325E-110
570,2.5608161289468402E-110
571,4.3272354783672913E-110
572,7.294515845309974E-110
573,1.2267164720648055E-109
574,2.0580768462628313E-109
575,3.4447399112989903E-109
576,5.752232825563285E-109
577,9.583171676265783E-109
578,1.5928776317816923E-108
579,2.6415774571477235E-108
580,4.3707850889798505E-108
581,7.215692530298005E-108
582,1.1885741095566232E-107
583,1.95349063104744E-107
584,3.2036147338977676E-107
585,5.242278655469064E-107
586,8.559683476453232E-107
587,1.394632980739729E-106
588,2.267428218620237E-106
589,3.6786227224703115E-106
590,5.955547087284687E-106
591,9.621645340616675E-106
592,1.551224954662528E-105
593,2.4957690685622347E-105
594,4.0072325361629604E-105
595,6.420982886412842E-105
596,1.0267897507123532E-104
597,1.638667133645196E-104
598,2.609968496935645E-104
599,4.148786890767555E-104
600,6.581945830943136E-104
601,1.0421751412303953E-103
602,1.6469719424458509E-103
603,2.5977453309616485E-103
604,4.0895692385637766E-103
605,6.425913274664478E-103
606,1.0077993685632208E-102
607,1.5776141803671413E-102
608,2.4650204870089817E-102
609,3.844490024791462E-102
610,5.984954110169657E-102
611,9.300196983120032E-102
612,1.4425736951168233E-101
613,2.2335910504723405E-101
614,3.4521869348924556E-101
615,5.326170821183838E-101
616,8.202969972750952E-101
617,1.2611520490443032E-100
618,1.9355708814506412E-100
619,2.9655207669431204E-100
620,4.535738721255522E-100
621,6.92556362015307E-100
622,1.0556673013818227E-99
623,1.6064552880833164E-99
624,2.4405323579985455E-99
625,3.701515204244508E-99
626,5.6047750441606346E-99
627,8.472764092031106E-99
628,1.278747737727598E-98
629,1.9268237563522444E-98
630,2.8986843701063174E-98
631,4.353776391915837E-98
632,6.528929180711225E-98
633,9.775360755095934E-98
634,1.461311965550657E-97
635,2.181105491458276E-97
636,3.250410567455113E-97
637,4.836506633125062E-97
638,7.185575057730041E-97
639,1.0659370831612847E-96
640,1.5788686328491076E-96
641,2.335118133751596E-96
642,3.4484518328215707E-96
643,5.085057858657526E-96
644,7.487347737125254E-96
645,1.1008404725495872E-95
646,1.6161770187704343E-95
647,2.3693295000362274E-95
648,3.468468864324877E-95
649,5.0702540141177404E-95
650,7.401247987319841E-95
651,1.078865302226876E-94
652,1.570435866761784E-94
653,2.2827983068701191E-94
654,3.3136974273749413E-94
655,4.803521258044076E-94
656,6.953631878432645E-94
657,1.005245901328759E-93
658,1.4512594411674547E-93
659,2.0923455137215253E-93
660,3.0125951990798376E-93
661,4.331821956330177E-93
662,6.220513501797931E-93
663,8.920948808414819E-93
664,1.2776984031811864E-92
665,1.827601253348507E-92
666,2.6107999841806363E-92
667,3.724843720726001E-92
668,5.3074758514077114E-92
669,7.552951604254682E-92
670,1.0734881242905423E-91
671,1.523816917802714E-91
672,2.1603616202390085E-91
673,3.059012964854962E-91
674,4.3261387622579487E-91
675,6.110642459838097E-91
676,8.620721476700833E-91
677,1.214712931739419E-90
678,1.7095427322302985E-90
679,2.40306474859698E-90
680,3.373906999094424E-90
681,4.731357437891876E-90
682,6.627142339359083E-90
683,9.2716616644366E-90
684,1.295634234816033E-89
685,1.8084379896946627E-89
686,2.5212968275846793E-89
687,3.51112460625421E-89
688,4.883971888702923E-89
689,6.785899670388002E-89
690,9.417850130781368E-89
691,1.305596128239835E-88
692,1.8079288059282514E-88
693,2.50075889671565E-88
694,3.4552777371545224E-88
695,4.768890350993635E-88
696,6.574723937133421E-88
697,9.05453334144496E-88
698,1.2456198565268696E-87
699,1.7117423269336428E-87
700,2.3497798242863593E-87
701,3.222213726182966E-87
702,4.413898762065947E-87
703,6.039954754723803E-87
704,8.25639987507282E-87
705,1.1274463176129799E-86
706,1.537982995767009E-86
707,2.0958493960203883E-86
708,2.8531449628888492E-86
709,3.880120080927315E-86
710,5.271404872852382E-86
711,7.154343040367313E-86
712,9.700131198941605E-86
713,1.3138693593127713E-85
714,1.7778525476385305E-85
715,2.4033139258438895E-85
716,3.2456276543118096E-85
717,4.3788746745158273E-85
718,5.902067191929714E-85
719,7.947412688379223E-85
720,1.069127540283804E-84
721,1.436870213618105E-84
722,1.9292653433344792E-84
723,2.587944074493023E-84
724,3.4682341207232204E-84
725,4.643597821568243E-84
726,6.211486221714511E-84
727,8.30105395423475E-84
728,1.1083317217132495E-83
729,1.4784516470795254E-83
730,1.9703679172229826E-83
731,2.6235682103642982E-83
732,3.490150860250453E-83
733,4.638791033283788E-83
734,6.159935110670336E-83
735,8.172597675664689E-83
736,1.0833247828050882E-82
737,1.4347417025249088E-82
738,1.8984848908723444E-82
739,2.5099254991339612E-82
740,3.315405455208693E-82
741,4.3755883010232166E-82
742,5.769817659271575E-82
743,7.601781578656186E-82
744,1.0006867879629412E-81
745,1.3161707390064472E-81
746,1.7296545638968441E-81
747,2.2711268127536605E-81
748,2.979614115622103E-81
749,3.9058633935719666E-81
750,5.11580769273951E-81
751,6.695040969668285E-81
752,8.754590910927034E-81
753,1.143836036986473E-80
754,1.4932712105980529E-80
755,1.9478804382510846E-80
756,2.5388454433342927E-80
757,3.306452275793906E-80
758,4.302708618661241E-80
759,5.594701754965223E-80
760,7.268903464872597E-80
761,9.436684641848975E-80
762,1.2241374168351154E-79
763,1.5867287613141882E-79
764,2.055126669267149E-79
765,2.6597416588128413E-79
766,3.439591319594243E-79
767,4.4446986360651415E-79
768,5.739148084959053E-79
769,7.404977029773194E-79
770,9.547127068259649E-79
771,1.229973942972958E-78
772,1.5834153427363144E-78
773,2.0369061304041264E-78
774,2.6183391521028366E-78
775,3.3632641820786007E-78
776,4.3169570988647113E-78
777,5.537039380960849E-78
778,7.096791932990372E-78
779,9.089344323337482E-78
780,1.163296696803947E-77
781,1.4877751968404011E-77
782,1.901404110782057E-77
783,2.428305055118784E-77
784,3.0990255561106993E-77
785,3.9522240628561015E-77
786,5.036789773876614E-77
787,6.414507664683624E-77
788,8.163406667186505E-77
789,1.0381963282828773E-76
790,1.3194375642402236E-76
791,1.6757176178687057E-76
792,2.126751714915748E-76
793,2.6973545324938768E-76
794,3.418738405385417E-76
795,4.3301367329804425E-76
796,5.480832721487754E-76
797,6.932693018062638E-76
798,8.763329838584757E-76
799,1.1070044958978603E-75
800,1.3974745704581175E-75
801,1.763006859558042E-75
802,2.2227002533475293E-75
803,2.800437252456695E-75
804,3.5260630754373127E-75
805,4.436850725523967E-75
806,5.579320246940735E-75
807,7.011496181575246E-75
808,8.80570756227874E-75
809,1.1052058253090543E-74
810,1.3862724452501797E-74
811,1.7377276174000595E-74
812,2.176926771272051E-74
813,2.72543523693804E-74
814,3.4100375192784987E-74
815,4.263976584103381E-74
816,5.3284899196658774E-74
817,6.654683883218123E-74
818,8.305934510640414E-74
819,1.036059678727001E-73
820,1.2915846744966729E-73
821,1.609130012313118E-73
822,2.00358163225313E-73
823,2.4932160290696393E-73
824,3.100736694083236E-73
825,3.853856236901556E-73
826,4.787237314308947E-73
827,5.942892307472977E-73
828,7.373742615756198E-73
829,9.144088266427307E-73
830,1.133298321224031E-72
831,1.4015388854823764E-72
832,1.7368326581865995E-72
833,2.1498660703206432E-72
834,2.660091495242662E-72
835,3.2900561122546956E-72
836,4.0397303848022586E-72
837,5.035749921158791E-72
838,6.251776494821155E-72
839,7.736182935813898E-72
840,9.123137923023989E-72
841,1.0446436142156565E-71
842,1.418328478591497E-71
843,1.8492546849030624E-71
844,1.7629153275806722E-71
845,1.629908619712288E-71
846,3.556703193491166E-71
847,1.7527750580688916E-71
848,3.796291112482517E-71
849,7.109567967901383E-71
850,1.543213702947943E-70
851,2.825112094773732E-70
852,2.404663974766632E-71
853,5.680875640956672E-71
854,9.864838831677342E-71
855,1.716771363276858E-70
856,4.0234775490932144E-70
857,7.01848515558706E-70
858,1.6449463336560659E-69
859,2.858775486001082E-69
860,6.746215322126872E-69
861,1.1687707242472532E-68
862,2.7309652458345327E-68
863,1.909420975200099E-73
864,3.2287255676519434E-73
865,8.051756966226803E-73
866,1.3501051106155637E-72
867,2.2571330224817002E-72
868,5.527466702664035E-72
869,9.303561564361794E-72
870,2.3294393542780054E-71
871,3.904767023730039E-71
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
